date,span,emergency_kwh
2025-03-20,00:20-00:30,12.389000000000237
2025-03-20,01:10-01:40,37.4785824999999
2025-03-20,03:00-03:30,70.16502916666707
2025-03-20,04:50-05:10,48.09531072863649
2025-03-20,05:50-06:00,6.724583333333499
2025-03-20,08:10-09:20,147.65359237714895
2025-03-20,09:40-10:00,56.01426043479451
2025-03-20,11:00-11:30,114.29593774335775
2025-03-20,11:40-12:00,35.269412261276756
2025-03-20,12:30-12:50,109.15767425994002
2025-03-20,13:10-13:20,0.8113818441447904
2025-03-20,14:00-14:10,6.500646871742621
2025-03-20,15:50-16:10,22.598054688185414
2025-03-20,16:50-17:00,0.10929595633842837
2025-03-20,18:40-19:10,85.03768409593908
2025-03-20,19:50-20:20,49.50096039362586
2025-03-20,21:10-21:30,47.584840833333374
2025-03-20,23:30-23:50,24.13780500000007
2025-06-21,00:20-00:30,40.44124999999974
2025-06-21,01:20-01:30,21.10349999999994
2025-06-21,01:50-02:10,13.24354916666681
2025-06-21,02:50-03:30,99.51550462579348
2025-06-21,18:50-19:10,79.29338088689929
2025-06-21,20:20-20:30,18.50750000000005
2025-06-21,22:00-22:30,70.63405416666671
2025-09-23,00:30-01:20,22.16771833333314
2025-09-23,02:00-02:20,55.40729833333364
2025-09-23,03:50-04:00,11.953499999999963
2025-09-23,04:50-05:10,34.30507134748541
2025-09-23,05:40-05:50,17.697257327951093
2025-09-23,06:10-06:30,0.5671307638606322
2025-09-23,07:40-07:50,5.0332154904372715
2025-09-23,14:20-15:00,75.46547946712718
2025-09-23,15:50-16:40,126.8907963063499
2025-09-23,17:30-17:50,19.815957713781813
2025-09-23,18:10-18:50,96.86889357931614
2025-09-23,19:10-19:30,41.81594441733239
2025-09-23,19:50-20:30,131.1379207572412
2025-09-23,20:50-21:10,106.59088083333347
2025-09-23,21:20-22:00,78.3681965333335
2025-09-23,22:20-22:30,57.720249999999965
2025-09-23,23:10-23:40,67.37073833333329
2025-12-21,01:00-01:20,29.04849416666673
2025-12-21,02:10-02:20,0.605570000000057
2025-12-21,03:00-03:10,15.381698333333247
2025-12-21,03:30-03:50,108.42298833333325
2025-12-21,05:50-06:00,8.04124999999965
2025-12-21,06:20-06:30,15.633333333333553
2025-12-21,10:30-11:40,363.36121175509834
2025-12-21,13:00-13:10,1.7786981952808674
2025-12-21,18:40-19:00,6.49038970280742
2025-12-21,19:40-20:00,59.05035936170873
